Neighborhood,Latitude,Longitude
Wakefield,40.89470517661,-73.84720052054902
Co-op City,40.87429419303012,-73.82993910812398
Eastchester,40.887555677350775,-73.82780644716412
Fieldston,40.89543742690383,-73.90564259591682
Riverdale,40.890834493891305,-73.9125854610857
Kingsbridge,40.88168737120521,-73.90281798724604
Marble Hill,40.87655077879964,-73.91065965862981
Woodlawn,40.89827261213805,-73.86731496814176
Norwood,40.87722415599446,-73.8793907395681
Williamsbridge,40.88103887819211,-73.85744642974207
Baychester,40.866858107252696,-73.83579759808117
Pelham Parkway,40.85741349808865,-73.85475564017999
City Island,40.84724670491813,-73.78648845267413
Bedford Park,40.870185164975325,-73.8855121841913
University Heights,40.85572707719664,-73.9104159619131
Morris Heights,40.84789792606271,-73.91967159119565
Fordham,40.86099679638654,-73.89642655981623
East Tremont,40.84269615786053,-73.88735617532338
West Farms,40.83947505672653,-73.87774474910545
High  Bridge,40.836623010706056,-73.9261020935813
Melrose,40.819754370594936,-73.90942160757436
Mott Haven,40.80623874935177,-73.91609987487575
Port Morris,40.801663627756206,-73.91322139386135
Longwood,40.81509904545822,-73.8957882009446
Hunts Point,40.80972987938709,-73.88331505955291
Morrisania,40.82359198585534,-73.90150648943059
Soundview,40.821012197914015,-73.86574609554924
Clason Point,40.80655112003589,-73.85414416189266
Throgs Neck,40.81510925804005,-73.81635002158441
Country Club,40.844245936947374,-73.8240992675385
Parkchester,40.837937822267286,-73.85600310535783
Westchester Square,40.8406194964327,-73.84219407604444
Van Nest,40.84360847124718,-73.8662991807561
Morris Park,40.847549063536334,-73.85040178030421
Belmont,40.85727710073895,-73.88845196134804
Spuyten Duyvil,40.88139497727086,-73.91719048210393
North Riverdale,40.90854282950666,-73.90453054908927
Pelham Bay,40.85064140940335,-73.8320737824047
Schuylerville,40.82657951686922,-73.82620275994073
Edgewater Park,40.821986118163494,-73.81388514428619
Castle Hill,40.819014376988314,-73.84802729582735
Olinville,40.87137078192371,-73.86332361652777
Pelham Gardens,40.86296562477998,-73.84161194831223
Concourse,40.83428380733851,-73.91558941773444
Unionport,40.82977429787161,-73.85053524451935
Edenwald,40.88456130303732,-73.84808271877168
Bay Ridge,40.625801065010656,-74.03062069353813
Bensonhurst,40.61100890202044,-73.99517998380729
Sunset Park,40.64510294925429,-74.01031618527784
Greenpoint,40.7302009848647,-73.95424093127393
Gravesend,40.59526001306593,-73.97347087708445
Brighton Beach,40.57682506566604,-73.96509448785336
Sheepshead Bay,40.58689012678384,-73.94318640482979
Manhattan Terrace,40.61443251335098,-73.95743840559939
Flatbush,40.63632589026677,-73.95840106533903
Crown Heights,40.67082917695294,-73.94329119073582
East Flatbush,40.64171776668961,-73.93610256185836
Kensington,40.642381958003526,-73.98042110559474
Windsor Terrace,40.65694583575104,-73.98007340430172
Prospect Heights,40.676822262254724,-73.9648592426269
Brownsville,40.66394994339755,-73.91023536176607
Williamsburg,40.70714439344251,-73.95811529220927
Bushwick,40.69811611017901,-73.92525797487045
Bedford Stuyvesant,40.687231607720456,-73.94178488690297
Brooklyn Heights,40.695863722724084,-73.99378225496424
Cobble Hill,40.687919722485574,-73.99856139218463
Carroll Gardens,40.680540231076485,-73.99465372828006
Red Hook,40.676253230250886,-74.0127589747356
Gowanus,40.673931143187154,-73.99444087145339
Fort Greene,40.68852726018977,-73.97290574369092
Park Slope,40.67232052268197,-73.97705030183924
Cypress Hills,40.68239101144211,-73.87661596457296
East New York,40.669925700847045,-73.88069863917366
Starrett City,40.64758905230874,-73.87936970045875
Canarsie,40.63556432797428,-73.90209269778966
Flatlands,40.630446043757466,-73.92911302644674
Mill Island,40.606336421685626,-73.90818571777423
Manhattan Beach,40.57791350308657,-73.94353722891886
Coney Island,40.57429256471601,-73.98868295821637
Bath Beach,40.59951870282238,-73.99875221443519
Borough Park,40.633130512758015,-73.99049823044811
Dyker Heights,40.619219457722636,-74.01931375636022
Gerritsen Beach,40.590848433902046,-73.93010170691196
Marine Park,40.609747779894604,-73.93134404108497
Clinton Hill,40.693229421881504,-73.96784306216367
Sea Gate,40.57637537890224,-74.0078731120024
Downtown,40.69084402109802,-73.98346337431099
Boerum Hill,40.685682912091444,-73.98374824115798
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713
Ocean Hill,40.678402554795355,-73.91306831787395
City Line,40.67856995727479,-73.86797598081334
Bergen Beach,40.61514955045308,-73.89855633630317
Midwood,40.62559589869843,-73.95759523489838
Prospect Park South,40.647008603185185,-73.96261316716048
Georgetown,40.62384524478419,-73.91607483951324
East Williamsburg,40.70849241041548,-73.93885815269195
North Side,40.714822906532014,-73.95880857587582
South Side,40.71086147265064,-73.95800095153331
Ocean Parkway,40.61305976667942,-73.96836678035541
Fort Hamilton,40.61476812694226,-74.03197914537984
Chinatown,40.71561842231432,-73.99427936255978
Washington Heights,40.85190252555305,-73.93690027985234
Inwood,40.86768396449915,-73.92121042203897
Hamilton Heights,40.823604284811935,-73.94968791883366
Manhattanville,40.8169344294978,-73.9573853935188
Central Harlem,40.81597606742414,-73.94321112603905
East Harlem,40.79224946663033,-73.94418223148524
Upper East Side,40.775638573301805,-73.96050763135
Yorkville,40.775929849884875,-73.94711784471826
Lenox Hill,40.76811265828733,-73.9588596881376
Roosevelt Island,40.76215960576283,-73.94916769227953
Upper West Side,40.787657998534854,-73.97705923630603
Lincoln Square,40.77352888942166,-73.98533777001262
Clinton,40.75910089146212,-73.99611936309479
Midtown,40.75469110270623,-73.98166882730304
Murray Hill,40.748303077252174,-73.97833207924127
Chelsea,40.744034706747975,-74.00311633472813
Greenwich Village,40.72693288536128,-73.99991402945902
East Village,40.727846777270244,-73.98222616506416
Lower East Side,40.71780674892765,-73.98089031999291
Tribeca,40.721521967443216,-74.01068328559087
Little Italy,40.71932379395907,-73.99730467208073
Soho,40.72218384131794,-74.00065666959759
West Village,40.73443393572434,-74.00617998126812
Manhattan Valley,40.797307041702865,-73.96428617740655
Morningside Heights,40.807999738165826,-73.96389627905332
Gramercy,40.737209832715,-73.98137594833541
Battery Park City,40.71193198394565,-74.01686930508617
Financial District,40.70710710727048,-74.0106654452127
Astoria,40.76850859335492,-73.91565374304234
Woodside,40.74634908860222,-73.90184166838284
Jackson Heights,40.75198138007367,-73.88282109164365
Elmhurst,40.744048505122024,-73.88165622288388
Howard Beach,40.65422527738487,-73.8381376460028
Corona,40.74238175015667,-73.85682497345258
Forest Hills,40.72526378216503,-73.84447500788983
Kew Gardens,40.7051790354148,-73.82981905825703
Richmond Hill,40.69794731471763,-73.83183321446887
Flushing,40.76445419697846,-73.83177300329582
Long Island City,40.75021734610528,-73.93920223915505
Sunnyside,40.74017628351924,-73.92691617561577
East Elmhurst,40.76407323883091,-73.86704147658772
Maspeth,40.725427374093606,-73.89621713626859
Ridgewood,40.70832315613858,-73.90143517559589
Glendale,40.70276242967838,-73.87074167435605
Rego Park,40.72897409480735,-73.8578268690537
Woodhaven,40.68988687915789,-73.8581104655432
Ozone Park,40.680708468265415,-73.84320266173447
South Ozone Park,40.66854957767195,-73.80986478649041
College Point,40.784902749260205,-73.84304528896125
Whitestone,40.78129076602694,-73.81420216610863
Bayside,40.76604063281064,-73.7742736306867
Auburndale,40.76172954903262,-73.79176243728061
Little Neck,40.7708261928267,-73.7388977558074
Douglaston,40.76684609790763,-73.7424982072733
Glen Oaks,40.74944079974332,-73.71548118999145
Bellerose,40.72857318176675,-73.72012814826903
Kew Gardens Hills,40.722578244228046,-73.82087764933566
Fresh Meadows,40.7343944653313,-73.78271337003264
Briarwood,40.71093547252271,-73.81174822458634
Jamaica Center,40.70465736068717,-73.79690165888289
Oakland Gardens,40.74561857141855,-73.75494976234332
Queens Village,40.718893092167356,-73.73871484578424
Hollis,40.71124344191904,-73.75925009335594
South Jamaica,40.696911253789885,-73.7904261313554
St. Albans,40.69444538522359,-73.75867603727717
Rochdale,40.67521139591733,-73.77258787620906
Springfield Gardens,40.666230490368584,-73.76042092682287
Cambria Heights,40.692774639160845,-73.73526873708026
Rosedale,40.659816433428084,-73.73526079428278
Far Rockaway,40.603134432500894,-73.75497968043872
Broad Channel,40.60302658351238,-73.8200548911032
Breezy Point,40.55740128845452,-73.92551196994168
Steinway,40.775923015642896,-73.90228960391673
Beechhurst,40.79278140360048,-73.80436451720988
Bay Terrace,40.782842806245554,-73.7768022262158
Edgemere,40.595641807368494,-73.77613282391705
Arverne,40.58914394372971,-73.79199233136943
Rockaway Beach,40.582801696845586,-73.82236121088751
Neponsit,40.572036730217015,-73.85754672410827
Murray Hill,40.764126122614066,-73.81276269135866
Floral Park,40.741378421945434,-73.70884705889246
Holliswood,40.7209572076444,-73.76714166714729
Jamaica Estates,40.71680483014613,-73.7872269693666
Queensboro Hill,40.7445723092867,-73.82580915110559
Hillcrest,40.723824901829204,-73.79760300912672
Ravenswood,40.761704526054146,-73.93157506072878
Lindenwood,40.66391841925139,-73.84963782402441
Laurelton,40.66788389660247,-73.74025607989822
Lefrak City,40.736074570830795,-73.8625247141374
Belle Harbor,40.57615556543109,-73.8540175039252
Rockaway Park,40.58034295646131,-73.84153370226186
Somerville,40.59771061565768,-73.79664750844047
Brookville,40.66000322733613,-73.75175310731153
Bellaire,40.73301404027834,-73.73889198912481
North Corona,40.7540709990489,-73.85751790676447
Forest Hills Gardens,40.7146110815117,-73.8410221123401
St. George,40.6449815710044,-74.07935312512797
New Brighton,40.64061455913511,-74.08701650516625
Stapleton,40.62692762538176,-74.07790192660066
Rosebank,40.61530494652761,-74.06980526716141
West Brighton,40.63187892654607,-74.1071817826561
Grymes Hill,40.624184791313006,-74.08724819983729
Todt Hill,40.59706851814673,-74.1113288180088
South Beach,40.58024741350956,-74.0795529253982
Port Richmond,40.63366930554365,-74.12943426797008
Mariner's Harbor,40.632546390481124,-74.15008537046981
Port Ivory,40.63968297845542,-74.17464532993542
Castleton Corners,40.61333593766742,-74.11918058534842
New Springville,40.594252379161695,-74.16496031329827
Travis,40.58631375103281,-74.19073717538116
New Dorp,40.57257231820632,-74.1164794360638
Oakwood,40.5584622432888,-74.12156593771896
Great Kills,40.549480228713605,-74.14932381490992
Eltingville,40.542230747450745,-74.1643308041936
Annadale,40.53811417474507,-74.17854866165878
Woodrow,40.541967622888755,-74.20524582480326
Tottenville,40.50533376115642,-74.24656934235283
Tompkinsville,40.637316067110326,-74.08055351790115
Silver Lake,40.61919310792676,-74.09629029235458
Sunnyside,40.61276015756489,-74.0971255217853
Ditmas Park,40.643675183340974,-73.96101312466779
Wingate,40.66094656188111,-73.93718680559314
Rugby,40.655572313280764,-73.92688212616955
Park Hill,40.60919044434558,-74.08015734936296
Westerleigh,40.62109047275409,-74.13304143951704
Graniteville,40.620171512231884,-74.15315246387762
Arlington,40.63532509911492,-74.16510420241124
Arrochar,40.596312571276734,-74.06712363225574
Grasmere,40.59826835959991,-74.0766743627905
Old Town,40.59632891379513,-74.08751118005578
Dongan Hills,40.588672948199275,-74.09639905312521
Midland Beach,40.57352690574283,-74.09348266303591
Grant City,40.57621558711788,-74.10585598545434
New Dorp Beach,40.56425549307335,-74.10432707469124
Bay Terrace,40.55398800858462,-74.13916622175768
Huguenot,40.531911920489605,-74.19174105747814
Pleasant Plains,40.524699376118136,-74.21983106616777
Butler Manor,40.50608165346305,-74.22950350260027
Charleston,40.53053148283314,-74.23215775896526
Rossville,40.54940400650072,-74.21572851113952
Arden Heights,40.54928582278321,-74.18588674583893
Greenridge,40.555295236173194,-74.17079414786092
Heartland Village,40.58913894875281,-74.15902208156601
Chelsea,40.59472602746295,-74.1895604551969
Bloomfield,40.60577868452358,-74.18725638381567
Bulls Head,40.6095918004203,-74.15940948657122
Carnegie Hill,40.7826825671257,-73.95325646837112
Noho,40.72325901885768,-73.98843368023597
Civic Center,40.71522892046282,-74.00541529873355
Midtown South,40.7485096643122,-73.98871313285247
Richmond Town,40.56960594275505,-74.1340572986257
Shore Acres,40.60971934079284,-74.06667766061771
Clifton,40.61917845202843,-74.072642445484
Concord,40.6044731896879,-74.08402364740358
Emerson Hill,40.606794394801,-74.09776206972522
Randall Manor,40.63563000681151,-74.09805062373887
Howland Hook,40.63843283794795,-74.18622331749823
Elm Park,40.630146741193826,-74.1418167896889
Remsen Village,40.652117451793494,-73.91665331978048
New Lots,40.6627442796966,-73.88511776379292
Paerdegat Basin,40.63131755039667,-73.90233474295836
Mill Basin,40.61597423962336,-73.91515391550404
Jamaica Hills,40.71145964370482,-73.79646462081593
Utopia,40.73350025429757,-73.79671678028349
Pomonok,40.73493618075478,-73.80486120040537
Astoria Heights,40.7703173929982,-73.89467996270574
Claremont Village,40.83142834161548,-73.90119903387667
Concourse Village,40.824780490842905,-73.91584652759009
Mount Eden,40.84382617671654,-73.91655551964419
Mount Hope,40.84884160724665,-73.90829930881988
Sutton Place,40.76028033131374,-73.96355614094303
Hunters Point,40.743414090073536,-73.95386782130745
Turtle Bay,40.75204236950722,-73.96770824581834
Tudor City,40.746917410740195,-73.97121928722265
Stuyvesant Town,40.73099955477061,-73.97405170469203
Flatiron,40.739673047638426,-73.9909471052826
Sunnyside Gardens,40.74565180608076,-73.91819286431682
Blissville,40.73725071694497,-73.93244235260178
Fulton Ferry,40.70328109093014,-73.99550751888415
