Neighborhood,Latitude,Longitude
"York Mills, Silver Hills",43.7574902,-79.37471409999999
Downsview,43.7390146,-79.5069436
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738
Humber Summit,43.7563033,-79.56596329999999
"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999
"Willowdale, Newtonbrook",43.789053,-79.40849279999999
Downsview,43.7284964,-79.49569740000001
Studio District,43.6595255,-79.340923
"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999
"Humberlea, Emery",43.7247659,-79.53224240000002
"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
"Willowdale, Willowdale East",43.7701199,-79.40849279999999
Downsview,43.7616313,-79.52099940000001
Lawrence Park,43.7280205,-79.3887901
Roselawn,43.7116948,-79.41693559999999
"Runnymede, The Junction North",43.67318529999999,-79.48726190000001
Weston,43.706876,-79.51818840000001
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001
York Mills West,43.752758299999996,-79.4000493
Davisville North,43.7127511,-79.3901975
"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000001
"High Park, The Junction South",43.6616083,-79.46476329999999
Westmount,43.696319,-79.53224240000002
"Wexford, Maryvale",43.750071500000004,-79.2958491
"Willowdale, Willowdale West",43.7827364,-79.4422593
"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001
"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
"Parkdale, Roncesvalles",43.6489597,-79.456325
Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001
Agincourt,43.7942003,-79.26202940000002
Davisville,43.7043244,-79.3887901
"University of Toronto, Harbord",43.6626956,-79.4000493
"Runnymede, Swansea",43.6515706,-79.4844499
"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
"Moore Park, Summerhill East",43.6895743,-79.38315990000001
"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369
"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887
Rosedale,43.6795626,-79.37752940000001
Stn A PO Boxes,43.6464352,-79.37484599999999
"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
"Northwest, West Humber - Clairville",43.706748299999994,-79.5940544
Upper Rouge,43.836124700000006,-79.20563609999999
"St. James Town, Cabbagetown",43.667967,-79.3676753
"First Canadian Place, Underground city",43.6484292,-79.3822802
"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436
Church and Wellesley,43.6658599,-79.38315990000001
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999
"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001
